Date,Home Team,Away Team,Predicted Winner,Home Win %,Confidence,Actual Winner,team_wpct,opp_wpct,team_rpg,opp_rpg,pitcher_era,opp_pitcher_era,bullpen_era,opp_bullpen_era,park_factor,temp,wind_speed,wind_dir_out,home,Game Time,Model Edge,pitcher_recent_delta,opp_pitcher_recent_delta,Correct?
5/12/26,Pittsburgh Pirates,Colorado Rockies,,,,Colorado Rockies,,,,,,,,,,,,,,,,,,
5/12/26,Cincinnati Reds,Washington Nationals,,,,Washington Nationals,,,,,,,,,,,,,,,,,,
5/12/26,Boston Red Sox,Philadelphia Phillies,,,,Philadelphia Phillies,,,,,,,,,,,,,,,,,,
5/12/26,Toronto Blue Jays,Tampa Bay Rays,,,,Tampa Bay Rays,,,,,,,,,,,,,,,,,,
5/12/26,New York Mets,Detroit Tigers,,,,Detroit Tigers,,,,,,,,,,,,,,,,,,
5/12/26,Atlanta Braves,Chicago Cubs,,,,Chicago Cubs,,,,,,,,,,,,,,,,,,
5/12/26,Chicago White Sox,Kansas City Royals,,,,Kansas City Royals,,,,,,,,,,,,,,,,,,
5/12/26,Minnesota Twins,Miami Marlins,,,,Miami Marlins,,,,,,,,,,,,,,,,,,
5/12/26,Milwaukee Brewers,San Diego Padres,,,,Milwaukee Brewers,,,,,,,,,,,,,,,,,,
5/12/26,Texas Rangers,Arizona Diamondbacks,,,,Arizona Diamondbacks,,,,,,,,,,,,,,,,,,
5/12/26,Houston Astros,Seattle Mariners,,,,Seattle Mariners,,,,,,,,,,,,,,,,,,
5/12/26,Oakland Athletics,St. Louis Cardinals,,,,St. Louis Cardinals,,,,,,,,,,,,,,,,,,
5/12/26,Los Angeles Dodgers,San Francisco Giants,,,,San Francisco Giants,,,,,,,,,,,,,,,,,,
5/13/26,Baltimore Orioles,New York Yankees,Baltimore Orioles,,,Baltimore Orioles,,,,,,,,,,,,,,,,,,
5/13/26,Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,,,Cleveland Guardians,,,,,,,,,,,,,,,,,,
5/13/26,Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates,,,Colorado Rockies,,,,,,,,,,,,,,,,,,
5/13/26,Cincinnati Reds,Washington Nationals,Cincinnati Reds,,,Washington Nationals,,,,,,,,,,,,,,,,,,
5/13/26,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies,,,Philadelphia Phillies,,,,,,,,,,,,,,,,,,
5/13/26,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,
5/13/26,New York Mets,Detroit Tigers,New York Mets,,,New York Mets,,,,,,,,,,,,,,,,,,
5/13/26,Atlanta Braves,Chicago Cubs,Chicago Cubs,,,Chicago Cubs,,,,,,,,,,,,,,,,,,
5/13/26,Chicago White Sox,Kansas City Royals,Kansas City Royals,,,Kansas City Royals,,,,,,,,,,,,,,,,,,
5/13/26,Minnesota Twins,Miami Marlins,Miami Marlins,,,Miami Marlins,,,,,,,,,,,,,,,,,,
5/13/26,Milwaukee Brewers,San Diego Padres,San Diego Padres,,,San Diego Padres,,,,,,,,,,,,,,,,,,
5/13/26,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks,,,Arizona Diamondbacks,,,,,,,,,,,,,,,,,,
5/13/26,Houston Astros,Seattle Mariners,Seattle Mariners,,,Seattle Mariners,,,,,,,,,,,,,,,,,,
5/13/26,Oakland Athletics,St. Louis Cardinals,Oakland Athletics,,,Oakland Athletics,,,,,,,,,,,,,,,,,,
5/13/26,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,,,San Francisco Giants,,,,,,,,,,,,,,,,,,
